name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
19122,2023-03-01T00:00:00,1.1,1.1,-0.2,90.94,0,0,,0,0,13,0,0,1018.6,3.2,7.9,0,,0,10,Clear,clear-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-01T01:00:00,1.6,1.6,0.3,91.37,0,0,,0,0,11.2,4.3,304,1019.1,5.7,7,0,,0,10,Clear,clear-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-01T02:00:00,0.3,0.3,-0.4,94.95,0,0,,0,0,11.2,2.4,22,1019.4,15.6,4.4,0,,0,10,Clear,clear-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-01T03:00:00,-0.2,-0.2,-1.2,92.96,0,0,,0,0,11.2,0,0,1019.2,15.6,3.7,0,,0,10,Clear,clear-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-01T04:00:00,-0.7,-0.7,-1.4,94.86,0,0,freezingrain,0,0,11.2,2,37,1019.6,28.9,6,0,,0,10,Partially cloudy,partly-cloudy-night,"72408013739,72408594732,72030464752,KPHL,KPNE"
19122,2023-03-01T05:00:00,-0.9,-3.8,-1.6,94.73,0,0,freezingrain,0,0,13,8,51,1019.7,0,9,0,,0,10,Clear,clear-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-01T06:00:00,-1.1,-4.3,-2.7,89.35,0,0,,0,0,14.8,8.9,72,1020.2,12.4,13.4,0,,0,10,Clear,clear-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-01T07:00:00,-1,-3,-2,92.61,0,0,,0,0,11.2,5.6,144,1021.1,12.4,9.1,19,0.1,0,10,Clear,clear-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-01T08:00:00,1.7,1.7,-0.4,85.87,0,0,,0,0,13,0,0,1022.2,12.4,10.8,192,0.7,2,10,Clear,clear-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-01T09:00:00,3.4,1.4,-0.5,75.51,0,0,,0,0,14.8,7.6,70,1022.1,22.5,16,401,1.4,4,10,Partially cloudy,partly-cloudy-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-01T10:00:00,4.9,2.6,-1.2,64.67,0,0,,0,0,16.6,9.8,102,1021.6,62,16,550,2,6,10,Partially cloudy,partly-cloudy-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-01T11:00:00,6.6,3.9,-0.8,59.09,0,0,,0,0,16.6,13.9,142,1020.7,24.4,16,608,2.2,6,10,Partially cloudy,partly-cloudy-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-01T12:00:00,8.3,7.1,-0.5,53.9,0,0,,0,0,22.3,7.6,150,1020.2,88.2,16,232,0.8,2,10,Partially cloudy,partly-cloudy-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-01T13:00:00,9.6,7.4,-0.2,50.22,0,0,,0,0,20.5,15.8,173,1019.3,68.3,16,779,2.8,8,10,Partially cloudy,partly-cloudy-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-01T14:00:00,10.7,10.7,0.2,48.14,0,0,,0,0,24.1,18.4,165,1017.9,95.1,16,295,1.1,3,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-01T15:00:00,10.7,10.7,0.5,49.21,0,0,,0,0,25.9,18.9,156,1016.3,95.1,16,197,0.7,2,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-01T16:00:00,9.7,7.5,1.5,56.93,0,0,,0,0,31.7,14.6,161,1015.8,99.4,16,79,0.3,1,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-01T17:00:00,9.3,7.3,2.3,61.37,0,0,,0,0,20.5,13.8,161,1015.6,100,16,19,0.1,0,10,Overcast,cloudy,"KVAY,72408013739,72408594732,72407493780,E8199,KPHL,KPNE"
19122,2023-03-01T18:00:00,8.8,6.6,3,66.97,0,0,,0,0,18.4,13.8,146,1015.8,100,16,8,0,0,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-01T19:00:00,8,5.7,4.2,76.58,0,0,,0,0,16.6,13.6,130,1015.9,100,15.6,47,0.2,0,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-01T20:00:00,7.1,4.8,4.9,86.19,0,0,,0,0,14.8,11.7,125,1015.1,100,13.1,0,,0,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-01T21:00:00,6.9,4.8,5,87.14,0,0,,0,0,13,11.1,87,1014.4,95.1,12.5,0,,0,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-01T22:00:00,6.5,4.3,4.4,86.11,0,0,,0,0,11.2,11.3,76,1013.1,100,15.3,0,,0,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-01T23:00:00,6.5,4.1,4.1,84.59,0,0,,0,0,9.4,12.2,57,1012.5,100,15,0,,0,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-02T00:00:00,6.2,3.9,4.4,87.64,0,0,,0,0,9.4,11.3,75,1011.6,100,14.3,0,,0,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-02T01:00:00,6.2,4.4,4.4,87.64,0,0,,0,0,9.4,8.8,77,1010.8,100,13.2,0,,0,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-02T02:00:00,6.1,3.5,5,92.49,0,0,,0,0,7.6,12.4,83,1009,100,10.8,0,,0,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-02T03:00:00,6.1,4,5,92.77,0,0,,0,0,7.6,9.6,73,1007.8,100,7.1,0,,0,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-02T04:00:00,6.2,6.2,5,91.82,0,0,,0,0,5.4,1.2,36,1007.7,100,6.2,0,,0,10,Overcast,cloudy,"72408013739,72408594732,72030464752,KPHL,KPNE"
19122,2023-03-02T05:00:00,6.2,6.2,5.7,96,0,0,,0,0,5.4,2.6,22,1007,100,1.5,0,,0,10,Overcast,cloudy,"72408013739,72408594732,72030464752,KPHL,KPNE"
19122,2023-03-02T06:00:00,6.2,6.2,5.7,95.94,0,0,rain,0,0,7.6,2.4,345,1006.9,100,2.8,0,,0,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-02T07:00:00,6.3,6.3,5.9,97.8,0,0,rain,0,0,11.2,2,354,1006.8,100,2.8,8,0,0,10,Overcast,cloudy,"F6990,72408013739,72408594732,72030464752,KPHL,KPNE"
19122,2023-03-02T08:00:00,6.3,4.5,6.2,99.52,0.019,100,rain,0,0,16.6,8.8,114,1004.7,100,1,32,0.1,0,10,"Rain, Overcast",rain,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-02T09:00:00,7.1,5.4,6.4,95.44,0,0,,0,0,22.3,8.9,255,1005.8,100,3,30,0.1,0,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-02T10:00:00,7.9,7,6.9,93.47,0,0,,0,0,25.9,6.1,282,1005.1,100,5.8,186,0.7,2,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-02T11:00:00,9.6,7.6,7.2,85.07,0,0,,0,0,31.3,14.1,252,1004.8,100,8.9,246,0.9,2,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-02T12:00:00,10.8,10.8,7.1,77.78,0,0,,0,0,29.5,16.7,300,1005.1,100,12,272,1,3,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-02T13:00:00,12.6,12.6,6.8,67.93,0,0,,0,0,40.7,12.5,286,1005.1,46.8,16,418,1.5,4,10,Partially cloudy,partly-cloudy-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-02T14:00:00,14,14,5,54.57,0,0,,0,0,40.7,17.5,290,1005.2,44.9,16,260,0.9,3,10,Partially cloudy,partly-cloudy-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-02T15:00:00,14.3,14.3,3.8,49.11,0,0,,0,0,37.1,23.6,298,1005,44.9,16,162,0.6,2,10,Partially cloudy,partly-cloudy-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-02T16:00:00,14.5,14.5,1.9,42.34,0,0,,0,0,40.7,22.1,296,1005.4,44.9,16,118,0.4,1,10,Partially cloudy,partly-cloudy-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-02T17:00:00,14.3,14.3,-1,34.95,0,0,,0,0,31.7,18,307,1006.3,44.9,16,49,0.2,0,10,Partially cloudy,partly-cloudy-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-02T18:00:00,13.4,13.4,-2.9,32.04,0,0,,0,0,24.1,14.9,315,1007.3,44.9,16,23,0.1,0,10,Partially cloudy,partly-cloudy-night,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-02T19:00:00,12.4,12.4,-3.3,33.2,0,0,,0,0,22.3,9.5,304,1008.3,44.9,16,30,0.1,0,10,Partially cloudy,partly-cloudy-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-02T20:00:00,11.9,11.9,-3,35.39,0,0,,0,0,18.4,9.6,312,1008.9,40,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-02T21:00:00,10.3,10.3,-3,39.33,0,0,,0,0,16.6,10.1,1,1010.1,40,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-02T22:00:00,9.3,8.1,-2.2,44.35,0,0,,0,0,18.4,8.5,7,1011.4,40,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-02T23:00:00,9,7.3,-1.6,47.17,0,0,,0,0,16.6,10.8,343,1012,44.9,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-03T00:00:00,7.4,5.1,-1.4,53.61,0,0,,0,0,14.8,12.2,18,1012.9,44.9,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-03T01:00:00,6.6,4.3,-2.1,53.91,0,0,,0,0,13,11.1,355,1013.9,44.9,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-03T02:00:00,4.6,2.1,-2.7,59.42,0,0,,0,0,13,10.4,359,1015.1,40,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-03T03:00:00,3.5,1.1,-2.7,63.77,0,0,,0,0,11.2,9.2,359,1015.9,40,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-03T04:00:00,2.9,0.2,-3,65.33,0,0,,0,0,13,9.7,6,1016.6,40,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-03T05:00:00,2.5,0.4,-3,67.12,0,0,,0,0,13,7.4,11,1016.9,40,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-03T06:00:00,1.3,-2.1,-3.6,70,0,0,,0,0,13,11.1,25,1017.1,22.5,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-03T07:00:00,1.5,-1.3,-4,67.19,0,0,,0,0,14.8,9,31,1017.5,40,16,40,0.1,0,10,Partially cloudy,partly-cloudy-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-03T08:00:00,3.9,0.3,-3.7,57.7,0,0,,0,0,33.5,15.8,45,1018,40,16,167,0.6,2,10,Partially cloudy,partly-cloudy-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-03T09:00:00,5.7,2.5,-4,49.69,0,0,,0,0,20.5,16,61,1018.8,40,16,411,1.5,4,10,Partially cloudy,partly-cloudy-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-03T10:00:00,6.6,4.2,-3.6,48.15,0,0,,0,0,20.5,12.2,81,1019.5,40,16,355,1.3,4,10,Partially cloudy,partly-cloudy-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-03T11:00:00,6.9,4.2,-3.4,47.85,0,0,,0,0,20.5,13.8,112,1018.8,44.9,16,338,1.2,3,10,Partially cloudy,partly-cloudy-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-03T12:00:00,7.9,5.9,-3.2,45.24,0,0,,0,0,20.5,11.6,111,1018.6,44.9,16,269,1,3,10,Partially cloudy,partly-cloudy-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-03T13:00:00,8,5.8,-2.7,46.64,0,0,,0,0,20.5,12.6,102,1017.1,54.1,16,174,0.6,2,10,Partially cloudy,partly-cloudy-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-03T14:00:00,7.9,4.9,-3.6,44.29,0,0,rain,0,0,22.3,18,106,1016,100,16,74,0.3,1,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-03T15:00:00,6.9,3.2,-4.2,45.06,0,0,rain,0,0,22.3,22.6,100,1015.7,100,16,44,0.2,0,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-03T16:00:00,4,-0.4,-0.4,73.06,0.135,100,rain,0,0,25.9,21.5,103,1015.4,100,11.6,18,0.1,0,10,"Rain, Overcast",rain,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-03T17:00:00,3.4,-0.6,1.1,84.63,0.102,100,rain,0,0,29.5,17.9,80,1014.2,100,16,9,0,0,10,"Rain, Overcast",rain,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-03T18:00:00,3.7,-0.7,1.2,83.5,0,0,rain,0,0,35.3,20.7,82,1012.2,100,16,9,0,0,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-03T19:00:00,4,0,1.9,86.15,0,0,rain,0,0,42.5,18.2,85,1011.7,100,14.7,11,0,0,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-03T20:00:00,4.3,-0.4,3,91.28,0.484,100,rain,0,0,48.2,24.9,96,1008.3,100,7.7,0,,0,10,"Rain, Overcast",rain,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-03T21:00:00,5.3,0.6,4,91.14,0.663,100,rain,0,0,44.8,28.7,90,1005.8,100,13.1,0,,0,10,"Rain, Overcast",rain,"72408013739,72408594732,72030464752,KPHL,KPNE"
19122,2023-03-03T22:00:00,6.5,1.8,4.9,89.83,2.013,100,rain,0,0,59.2,32.3,100,1002.3,100,9.4,0,,0,10,"Rain, Overcast",rain,"72408013739,72408594732,72030464752,KPHL,KPNE"
19122,2023-03-03T23:00:00,7.3,3,5.9,90.37,1.721,100,rain,0,0,52,31.1,102,999.3,100,9.3,0,,0,10,"Rain, Overcast",rain,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-04T00:00:00,8.2,4.2,7.2,93.56,5.488,100,rain,0,0,51.4,29.6,106,996.4,100,5.6,0,,0,10,"Rain, Overcast",rain,"72408013739,72408594732,72030464752,KPHL,KPNE"
19122,2023-03-04T01:00:00,9.1,6.3,8.3,94.61,5.403,100,rain,0,0,45.3,19.1,110,993.6,100,12.6,0,,0,10,"Rain, Overcast",rain,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-04T02:00:00,10.2,10.2,9.2,93.51,0.93,100,rain,0,0,47.9,11.6,41,991.5,100,15.2,0,,0,10,"Rain, Overcast",rain,"72408013739,72408594732,72030464752,KPHL,KPNE"
19122,2023-03-04T03:00:00,9.8,7.9,9.2,96.47,0.202,100,rain,0,0,29.5,12.8,18,990.7,100,13.7,0,,0,10,"Rain, Overcast",rain,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-04T04:00:00,9.3,8.2,8.6,95.47,0,0,rain,0,0,25.9,8,332,990.9,100,9.2,0,,0,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-04T05:00:00,9.7,7.2,8.5,92.27,0,0,rain,0,0,48.1,18.7,261,991.9,95.1,15,0,,0,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-04T06:00:00,9.6,6.5,7.5,87.05,0,0,,0,0,50,24.8,279,993.7,77.5,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-04T07:00:00,9,5.5,6.2,82.5,0,0,,0,0,51.8,27.9,278,995.8,77.5,16,26,0.1,0,10,Partially cloudy,partly-cloudy-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-04T08:00:00,8.9,5.8,5.8,81.01,0,0,,0,0,47.9,22.2,282,997.7,76.9,16,214,0.8,2,10,Partially cloudy,partly-cloudy-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-04T09:00:00,9.4,5.8,4.4,70.98,0,0,,0,0,51.2,31.1,277,998.8,88.2,16,151,0.5,2,10,Partially cloudy,partly-cloudy-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-04T10:00:00,9.3,5.2,2.3,61.93,0,0,,0,0,57.2,36.4,280,1000.1,95.1,16,610,2.2,6,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-04T11:00:00,9,5.1,1,57.25,0,0,,0,0,58.4,31.4,288,1001.5,100,16,162,0.6,2,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-04T12:00:00,9.5,5.8,0.2,52.39,0,0,,0,0,61.3,31.4,288,1002.6,100,16,446,1.6,4,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-04T13:00:00,9.4,5.6,-0.3,50.63,0,0,,0,0,57.9,32.9,282,1003.6,95.1,16,244,0.9,2,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-04T14:00:00,9.8,6.6,-0.5,48.46,0,0,,0,0,53.2,26.5,287,1005,95.1,16,176,0.6,2,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-04T15:00:00,10.1,10.1,-0.5,47.71,0,0,,0,0,51.1,29.6,303,1006,95.1,16,130,0.5,1,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-04T16:00:00,9.9,6.3,-0.7,47.56,0,0,,0,0,53.5,31.8,300,1007.7,95.1,16,142,0.5,1,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-04T17:00:00,9.5,6,-0.8,48.6,0,0,,0,0,49.5,28.2,308,1009.3,95.1,16,77,0.3,1,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-04T18:00:00,8.8,5.2,-1.6,48.31,0,0,,0,0,46.5,26.8,317,1010.9,95.1,16,16,0.1,0,10,Overcast,cloudy,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-04T19:00:00,7.7,4.3,-1.9,50.8,0,0,,0,0,36.7,21.3,332,1012.5,85,16,29,0.1,0,10,Partially cloudy,partly-cloudy-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-04T20:00:00,6.8,3,-2.5,51.51,0,0,,0,0,33.5,23.2,350,1014.3,55.1,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-04T21:00:00,6,2.5,-2.8,53.29,0,0,,0,0,27.7,19.1,355,1016.2,57.8,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-04T22:00:00,5.1,1.9,-3,56,0,0,,0,0,22.3,14.6,4,1017.2,37.1,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-04T23:00:00,4.4,2.6,-2.8,59.32,0,0,,0,0,20.5,7.5,340,1017.7,53.2,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-05T00:00:00,3.9,2.6,-2.8,61.73,0,0,,0,0,16.6,5.6,349,1017.8,37.1,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-05T01:00:00,3,1.8,-2.9,65.03,0,0,,0,0,14.8,5.1,307,1018.1,12.4,16,0,,0,10,Clear,clear-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-05T02:00:00,2.8,0.7,-2.9,66.24,0,0,,0,0,13,7.4,296,1019,60.1,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-05T03:00:00,1.8,1.8,-2.9,70.95,0,0,,0,0,11.2,4.3,318,1019.1,22.5,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-05T04:00:00,1.5,1.5,-2.7,73.94,0,0,,0,0,9.4,2.6,311,1019.5,22.5,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-05T05:00:00,0.3,-1.6,-2.9,79.3,0,0,,0,0,7.6,5.8,268,1019.9,12.4,16,0,,0,10,Clear,clear-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-05T06:00:00,0,-2,-2.7,81.83,0,0,,0,0,9.4,6,254,1020.3,12.4,16,0,,0,10,Clear,clear-night,"72408013739,72408594732,72407493780,72030464752,KPHL,KPNE"
19122,2023-03-05T07:00:00,0.7,-1.9,-2.4,79.5,0,0,,0,0,9.4,8,258,1020.7,12.4,16,21,0.1,0,10,Clear,clear-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-05T08:00:00,4.1,2,-1.8,65.55,0,0,,0,0,13,8.3,270,1021.4,0,16,206,0.7,2,10,Clear,clear-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-05T09:00:00,6.6,5.2,-1.5,55.99,0,0,,0,0,16.6,7.7,253,1021.5,19.7,16,396,1.4,4,10,Clear,clear-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-05T10:00:00,8.3,5.9,-0.8,52.58,0,0,,0,0,22.3,14.8,265,1021.4,12.4,16,561,2,6,10,Clear,clear-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-05T11:00:00,10.1,10.1,0,49.46,0,0,,0,0,22.3,15,246,1020.9,0,16,675,2.4,7,10,Clear,clear-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-05T12:00:00,12.1,12.1,0.2,44.02,0,0,,0,0,31.7,21,261,1020.4,19.7,16,366,1.3,4,10,Clear,clear-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-05T13:00:00,13.3,13.3,-0.3,39.15,0,0,,0,0,48.6,27.3,296,1019.6,69.2,16,896,3.2,9,10,Partially cloudy,partly-cloudy-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-05T14:00:00,13.9,13.9,-0.5,36.99,0,0,,0,0,50.2,25.9,294,1019.5,55.9,16,376,1.4,4,10,Partially cloudy,partly-cloudy-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
19122,2023-03-05T15:00:00,13.8,13.8,-1.8,33.96,0,0,,0,0,47,32,314,1019.7,46.8,16,575,2.1,6,10,Partially cloudy,partly-cloudy-day,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
